# java.version=25.0.2.0.101 tzdata=2026a
Antarctica/Troll	Antarctica/Troll	true	Greenwich Mean Time	Troll Daylight Time	GMT	GMT
Antarctica/Vostok	Antarctica/Vostok	false	Vostok Time	Vostok Daylight Time	GMT+05:00	GMT+05:00
Arctic/Longyearbyen	Arctic/Longyearbyen	true	Central European Standard Time	Central European Summer Time	CET	CEST
Asia/Aden	Asia/Aden	false	Arabian Standard Time	Arabian Daylight Time	GMT+03:00	GMT+03:00
Asia/Almaty	Asia/Almaty	false	Kazakhstan Time	Almaty Daylight Time	GMT+05:00	GMT+06:00
Asia/Amman	Asia/Amman	false	Amman Standard Time	Amman Daylight Time	GMT+03:00	GMT+04:00
Asia/Anadyr	Asia/Anadyr	false	Anadyr Standard Time	Anadyr Summer Time	GMT+12:00	GMT+13:00
Asia/Aqtau	Asia/Aqtau	false	Kazakhstan Time	Aqtau Daylight Time	GMT+05:00	GMT+06:00
Asia/Aqtobe	Asia/Aqtobe	false	Kazakhstan Time	Aqtobe Daylight Time	GMT+05:00	GMT+06:00
Asia/Ashgabat	Asia/Ashgabat	false	Turkmenistan Standard Time	Turkmenistan Summer Time	GMT+05:00	GMT+06:00
Asia/Ashkhabad	Asia/Ashkhabad	false	Turkmenistan Standard Time	Turkmenistan Summer Time	GMT+05:00	GMT+06:00
Asia/Atyrau	Asia/Atyrau	false	Kazakhstan Time	Atyrau Daylight Time	GMT+05:00	GMT+06:00
Asia/Baghdad	Asia/Baghdad	false	Arabian Standard Time	Arabian Daylight Time	GMT+03:00	GMT+04:00
Asia/Bahrain	Asia/Bahrain	false	Arabian Standard Time	Arabian Daylight Time	GMT+03:00	GMT+03:00
Asia/Baku	Asia/Baku	false	Azerbaijan Standard Time	Azerbaijan Summer Time	GMT+04:00	GMT+05:00
Asia/Bangkok	Asia/Bangkok	false	Indochina Time	Bangkok Daylight Time	GMT+07:00	GMT+07:00
Asia/Barnaul	Asia/Barnaul	false	Barnaul Standard Time	Barnaul Daylight Time	GMT+07:00	GMT+08:00
